[2020-06-22 14:18:14:0977] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:25:0697] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[63226], HostIp[c0a8017f], HostPort[63226]
[2020-06-22 14:18:25:0697] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:25:0697] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:25:0697] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:26:0198] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:28:0045] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:28:0045] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:28:0046] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[63353], devIP[c0a84809]
[2020-06-22 14:18:28:0547] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:29:0047] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:29:0047] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:29:0047] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:29:0548] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:30:0049] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:30:0049] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[63353], HostIp[c0a8017f], HostPort[63353]
[2020-06-22 14:18:30:0049] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:30:0049] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:30:0049] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:30:0549] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:32:0416] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:32:0416] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:32:0417] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[63474], devIP[c0a84809]
[2020-06-22 14:18:32:0917] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:33:0417] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:33:0417] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:33:0417] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:33:0918] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:34:0419] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:34:0419] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[63474], HostIp[c0a8017f], HostPort[63474]
[2020-06-22 14:18:34:0419] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:34:0419] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:34:0419] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:34:0919] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:36:0771] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:36:0771] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:36:0771] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[50265], devIP[c0a84809]
[2020-06-22 14:18:37:0272] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:37:0773] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:37:0773] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:37:0773] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:38:0273] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:38:0774] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:38:0774] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[50265], HostIp[c0a8017f], HostPort[50265]
[2020-06-22 14:18:38:0774] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:38:0774] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:38:0774] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:39:0275] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:41:0137] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:41:0137] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:41:0138] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[59709], devIP[c0a84809]
[2020-06-22 14:18:41:0639] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:42:0140] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:42:0140] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:42:0140] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:42:0640] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:43:0141] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:43:0141] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[59709], HostIp[c0a8017f], HostPort[59709]
[2020-06-22 14:18:43:0141] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:43:0141] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:43:0141] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:43:0641] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:45:0492] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:45:0492] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:45:0493] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[59845], devIP[c0a84809]
[2020-06-22 14:18:45:0994] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:46:0494] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:46:0494] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:46:0494] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:46:0995] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:47:0495] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:47:0495] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[59845], HostIp[c0a8017f], HostPort[59845]
[2020-06-22 14:18:47:0495] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:47:0495] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:47:0495] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:47:0995] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:49:0863] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:49:0863] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:49:0864] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[59984], devIP[c0a84809]
[2020-06-22 14:18:50:0365] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:50:0866] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:50:0866] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:50:0866] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:51:0367] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:51:0867] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:51:0867] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[59984], HostIp[c0a8017f], HostPort[59984]
[2020-06-22 14:18:51:0867] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:51:0867] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:51:0867] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:52:0367] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:54:0215] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:54:0215] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:54:0215] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[60119], devIP[c0a84809]
[2020-06-22 14:18:54:0716] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:55:0217] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:55:0217] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:55:0217] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:55:0717] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:56:0217] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:56:0217] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[60119], HostIp[c0a8017f], HostPort[60119]
[2020-06-22 14:18:56:0217] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:56:0217] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:56:0217] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:56:0718] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:58:0577] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:58:0577] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:58:0578] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[60240], devIP[c0a84809]
[2020-06-22 14:18:59:0078] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:59:0579] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:59:0579] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:59:0579] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:00:0080] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:00:0580] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:00:0580] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[60240], HostIp[c0a8017f], HostPort[60240]
[2020-06-22 14:19:00:0580] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:00:0580] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:00:0580] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:01:0081] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:02:0924] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:02:0924] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:02:0924] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[57969], devIP[c0a84809]
[2020-06-22 14:19:03:0425] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:03:0925] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:03:0925] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:03:0925] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:04:0426] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:04:0927] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:04:0927] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[57969], HostIp[c0a8017f], HostPort[57969]
[2020-06-22 14:19:04:0927] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:04:0927] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:04:0927] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:05:0427] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:07:0282] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:07:0282] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:07:0283] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[58086], devIP[c0a84809]
[2020-06-22 14:19:07:0783] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:08:0284] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:08:0284] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:08:0284] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:08:0785] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:09:0286] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:09:0286] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[58086], HostIp[c0a8017f], HostPort[58086]
[2020-06-22 14:19:09:0286] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:09:0286] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:09:0286] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:09:0786] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:11:0632] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:11:0632] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:11:0632] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[58252], devIP[c0a84809]
[2020-06-22 14:19:12:0132] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:12:0633] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:12:0633] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:19:12:0633] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:19:13:0134] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:13:0635] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:13:0635] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[58252], HostIp[c0a8017f], HostPort[58252]
[2020-06-22 14:19:13:0635] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:19:13:0635] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:19:13:0635] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:19:14:0135] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:19:15:0983] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:19:15:0983] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:19:15:0983] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[58403], devIP[c0a84809]
